,Unnamed: 0,Unnamed: 0.1,index,tweet,class,norm
4831,4831,4831,1907,"@AAlwuhaib1977 Wrong again, it is the Muslims murdering the Hindus in India, Kashmir, Bangladesh, and Pakistan.",racism,0
4839,4839,4839,3206,@cjn159u This is what happens when you confer the dignity and respect of MLK and real civil rights leaders upon untreated borderlines nuts.,sexism,1
4844,4844,4844,364,"@NNdabbour64 I know the truth. It is 280 million citizens of the earth murdered by scum shouting ""Allahu Akbar"".",racism,0
4846,4846,4846,4682,RT @PhilDoran21: @Deanowen118 they don't see us tweeting about sanitary towels do they ! #GetMeAFuckinBeer #Slag,sexism,1
4847,4847,4847,4720,Ew @Matty__Clark Been going to social clubs since i was 12 and to see women in the main bar is mad like just not right. #notsexist,sexism,1
4848,4848,4848,4114,Are you even a real person? @awesomeadanxd I'm not sexist. But Men are superior to women.,sexism,1
4855,4855,4855,4005,RT @Figgnorance: I'm not sexist but I hate female sports analysts because I swear all they do is look at a stat sheet and state the obvious,sexism,1
4857,4857,4857,4477,RT @GrumpyVancouver: @YesYoureSexist maybe so. But I'm still right.,sexism,1
4859,4859,4859,2012,These Blonde girls are full of themselves they should just leave #MKR,sexism,1
4860,4860,4860,801,@Vandaliser @sajid_fairooz @IsraeliRegime I don't see how that is relevant to how non Muslims were treated as third class citizens.,racism,0
4863,4863,4863,3080,@PsychScientists @geekyjessica Can you explain why what she described there is wrong?,sexism,1
4865,4865,4865,1357,@ummahwitness The Muslim pedophiles do this all the time. It's so common and accepted that it's not even news.,racism,0
4869,4869,4869,503,@LifeInKhilafah You can't even imagine how I think because I cannot imagine how anyone would take such a vile religion as Islam.,racism,0
4876,4876,4876,1487,@Bruciebabe This Jihadi is following in the footsteps of his prophet and marrying young.  #Islam #Iran #Iraq #Hamas http://t.co/jLaVovNMqR,racism,0
4878,4878,4878,3198,@VanCanucks @CaptainCanuck0 Bitter Geno.,sexism,1
4879,4879,4879,3586,RT @Noin007: @thewtfmagazine @MT8_9 @Mislu_Kravin @MaddyBaylor @S_H_O_D_A_N_ AHAHAHA!! That didn't take long at all. http://t.co/IPQecEmKv3,sexism,1
4884,4884,4884,2053,That was annoying “@raachel_19: If she calls her own self pretty one more time.. I'm gonna vom. #MKR”,sexism,1
4887,4887,4887,2387,"Next week n New Idea, Lloyd and Drasko's secret sex romp #MKR",sexism,1
4888,4888,4888,2904,@PardusXY The idea...or the argument?,sexism,1
4892,4892,4892,3292,@monoculturalist ...a MF'ing State of the Union invite.,sexism,1
4893,4893,4893,4249,And yet antique furniture... @Rojdarabbit Ladies...If you've been around your price goes down. Call me sexist but u know it's true. #joke,sexism,1
4899,4899,4899,648,"@UmarMal A worshipper of the pedophile prophet has no room to call anyone a biggot, since Islam is a religion of hate and bigotry.",racism,0
4904,4904,4904,1333,@DianH4 But it really doesn't matter who the Mujahedeen animals are fighting. They have been murdering someone for 1400 years.,racism,0
4912,4912,4912,4761,RT @Oli_Peace Can't believe they are releasing a female Thor comic book series. I'm not sexist but I really don't think it would work.,sexism,1
4913,4913,4913,3234,"@ChristianMcBane @TehMenz Agreed. Idea it's ""not a compliment"" absurd.  Most important compliment...",sexism,1
4914,4914,4914,5303,REALLY wish it were bitch face and her husband in sudden death 😡 #mkr  @mykitchenrules,sexism,1
4916,4916,4916,3747,RT @MGTOWKnight: @MT8_9 @MegNordmann There's a platform that could easily collapse under her #AntiSJW #WomenAgainstFeminism http://t.co/l1f…,sexism,1
4918,4918,4918,1627,"@Hesiod2k11 @MaxBlumenthal @BlueDuPage If they were aligned with neo Nazis, the Muslims would love them.",racism,0
4919,4919,4919,4122,RT @DemaMatar: I'm not sexist but I prefer male professors over females.,sexism,1
4921,4921,4921,3692,RT @DisgruntleGamer: @MT8_9 @JustLaurenB @grybranix @clitbabe @JulianDavis @Synthovine hospital if he finds out the kids not his.,sexism,1
4924,4924,4924,3907,What a waste of fossil fuels to publish that tweet. @SOFFETUS call me sexist but guys &gt,sexism,1
4930,4930,4930,2664,WOW... both the SA teams?  Kat needs to keep her mouth shut.. she barely escaped that I expect... #MKR,sexism,1
4931,4931,4931,2638,Annie says a pony ... Are you joking...you idiot #mkr,sexism,1
4934,4934,4934,3732,RT @uberfeminist: UMinn campus crime alerts will purposefully cover up details due to alerts making campus unsafe for men http://t.co/Gk0zV…,sexism,1
4935,4935,4935,2959,@RejectRaine @willberthelot Legally in a Western nation?,sexism,1
4939,4939,4939,4070,RT @jgmason93 Superb parking,sexism,1
4941,4941,4941,4115,"Yes, you are. @KenBest I swear I'm not sexist but watching girls basketball usually makes me want to shoot myself in the head",sexism,1
4944,4944,4944,1127,@truaemusic Because more slavery exists in the Islamic world than anywhere else.  And I am very much against N. Korea.,racism,0
4947,4947,4947,4045,RT @Mardeek_M I'm not sexist at all. But I can not stand female reporters in men's sports,sexism,1
4950,4950,4950,1054,"@discerningmumin Islam is a slave religion, both for it's followers and for the people it enslaves, and for the dhimmis it rules.",racism,0
4951,4951,4951,1607,Why do Muslims force women to cover up and stay at home?  The Quran tells them to. #Islam http://t.co/NHh9nLaMnP,racism,0
4954,4954,4954,1348,"RT @Patriotic_Me: Muslim Immigration Poses Serious National Security Threat
http://t.co/hOTRnVnLCy http://t.co/EZ2JIOpaty",racism,0
4955,4955,4955,3773,RT @liebenlaramutti: She has such an ego that it will kill her in the end: she had option of begging jury for mercy--she refused. #NoSoul #…,sexism,1
4956,4956,4956,4527,RT @TheHolyKuran Im not sexist but only like 4 girls (if that) are funny on twitter rest of u hoes try too hard,sexism,1
4958,4958,4958,5246,"RT @BlomquistRich: Should I hook up with this chick?? Half my friends say yes, the other half no! http://t.co/hR2bnRaJtf",sexism,1
4962,4962,4962,335,@reza_rahman That's an excuse and a cop out.  Every single Islamic nation is repressive. They produce either dictators or theocrats.,racism,0
4964,4964,4964,4926,"RT @DeaniesWienies: My last Tweet, ???? Im not sexist but ummmm I think the whole equality thing is getting out of hand. We are different, …",sexism,1
4965,4965,4965,690,@obsurfer84 @teenage Dodge rambles on making assertion after assertion with zero evidence and no references in Quran or Hadith. It's garbage,racism,0
4975,4975,4975,4739,"RT @Dumpweed_: @Dumpweed_ like I'm not sexist, but feminists sometimes are stupid. women make mistakes too. You are not perfect. Nobody is …",sexism,1
4979,4979,4979,881,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime They don't misinterpret and most Muslims are extremists. http://t.co/UjA1vWVQ3y,racism,0
4988,4988,4988,4125,RT @KeatonRich: I'm not sexist but I hate when certain girls tweet about football when I bet they think offside is a seasoning.,sexism,1
4989,4989,4989,461,"@Amyloukingery Love it when these idiot national leaders claim that terrorism has nothing to do with Islam, and  not one has read the Quran.",racism,0
4992,4992,4992,4073,RT @JaimsVanDerBeek: I'm no sexist. My dad taught me better than that. He knew he would be able to explain it better than my mom. Plus she …,sexism,1
4993,4993,4993,1178,@KeeganNYC @syedmuhammad555 Why do nearly half of all Muslims want to kill people for who they have sex with? http://t.co/wzMsFRJ70N,racism,0
4998,4998,4998,716,"@obsurfer84 @teenage Yes, you can lie about Islam all you want and you can deny all the evidence all you want.  No one cares about opinion.",racism,0
4999,4999,4999,1388,"@tti1947 Furthermore, those Jews were not nomads.  In fact, the city of Medina was established by Jews before Mohammed attacked them.",racism,0
5000,5000,5000,3581,@GRIMACHU @AliRadicali @avacadosoup Honestly no idea what that is...,sexism,1
5001,5001,5001,4490,RT @livebylove29: @YesYoureSexist Was informed by a man today that there's no difference between Michigan's Rape Insurance and his house an…,sexism,1
5004,5004,5004,782,@wilytone @SenTomCotton He couldn't be close to the idiot you are.  Terrorism has been rampant in ME 1400 years.,racism,0
5009,5009,5009,3060,@feministlah @GreenWeiner Women have more legal rights in every Western nation.  Who is privileged?,sexism,1
5011,5011,5011,2250,@EloisePeace haha and that is all they are good at #mkr,sexism,1
5013,5013,5013,7,@ibnHlophe @eeviewonders @anjemchoudary A criminal to ISIS is anyone that does not agree with their barbaric and inhuman religion.,racism,0
5016,5016,5016,2458,"RT @nastyjvc: #mkr if we have to see Kat on the TV past tonight, I'm out",sexism,1
5017,5017,5017,218,@KhaledHamaki This is a more complete picture of the bigotry of Islam than your selective lie. http://t.co/raGDag6tmL,racism,0
5019,5019,5019,2342,"#MKR ""If I could score them a zero then I would because I'm a super slut"". #cheats #irritate #ratingsbonanza #uglycow http://t.co/vJv8DCRqcQ",sexism,1
5021,5021,5021,1624,@alihadi68 @David_Cameron Who's them? I only see real beheadings in Palestine and the rest of the Muslim world.,racism,0
5027,5027,5027,1476,@BDSSupporter Israel is zero threat to world peace. Every Muslim nation on the planet is a threat to world peace. http://t.co/nYbRn19Xat,racism,0
5029,5029,5029,1138,RT @RayJBray: @Juliet777777 @Vassa42 @2tweetaboutit They are breeding us out of existence in the westernised world. Islam will rule the wor…,racism,0
5030,5030,5030,4672,"Not ""one bit,"" eh? @rpickett52 I'm not sexist one bit but a girl should not be playing football. End of story",sexism,1
5031,5031,5031,3653,@ardentlyaphotic Please answer... http://t.co/m7i3NFQsDY,sexism,1
5032,5032,5032,3286,.@Codename_WiAx @Mich_McConnell @TamedInsanity US is 46th best place for women.  Behind Rhwanda and Ghana.  Such bunk.  She'll never see it.,sexism,1
5035,5035,5035,1640,"@nader_haq @MadDr11 Because they use their women as baby machines and they practice population imperialism, as commanded by Mohammed.",racism,0
5039,5039,5039,4502,"Hear that, Vanessa Mae? Nate says you suck. @longarm_johnson I'm not sexist but most women musicians suck ass",sexism,1
5042,5042,5042,2932,"@SnugRailgun She blocked me and I blocked her, why is that sexual abuse apologist @Auragasmic in my TL?",sexism,1
5045,5045,5045,5044,"RT @ckerr1214: I'm not sexist but a woman shouldn't have to open their own door, pay the bill, or drive but I still beleive in chivalry so …",sexism,1
5046,5046,5046,4813,UNBIASED TOTALLY UNSEXIST MALE OPINION ALERT @isaiah_guy Im not sexist but I swear female comedians are not funny at all,sexism,1
5047,5047,5047,2498,Fuck cat u are even uglier when u smile u bbbbitch #mkr,sexism,1
5049,5049,5049,2140,My kitchen rules or my vagina rules? #MKR http://t.co/CXXgcf1MHl,sexism,1
5051,5051,5051,1827,"@PsychBarakat @PhilipMills8 @jncatron No, it's anti semitism.  This Palestinian leader clearly tells you that it is a religious war by....",racism,0
5057,5057,5057,3301,RT @Johnny_Medieval: @outspoken45 @MT8_9 @FearBlandness #NotYourScapegoat  Join the party :),sexism,1
5061,5061,5061,1285,"@KellyTurner99 Again, airhead, they died because of hate because Islam encourages that hate.",racism,0
5063,5063,5063,4521,- A Misogynist @parody_guy A woman wants her man to treat her like a princess to the world and fuck her like a whore. - Someone,sexism,1
5066,5066,5066,3432,#ILoveObama for knowingly retelling the wage gap myth &amp,sexism,1
5071,5071,5071,5106,RT @vonnegot fuck women! i mean i'm not sexist but like...fuck women,sexism,1
5072,5072,5072,36,@suranie Exactly.  Merkel is defending this.  And the protesters are called Islamophobes for being against it. http://t.co/08ZwRcTo88,racism,0
5074,5074,5074,1317,@DianH4 If Muslims ever produced a decent leader the world would be overjoyed to accept him.,racism,0
5077,5077,5077,1153,"@DouglasKMurray Eventually followed by no future for Christians in UK, eventually followed by no future for atheists in UK.",racism,0
5078,5078,5078,5222,"RT @IMrTrippy: I'm not sexist, but why do feminists complain about everything?? If there was a cure for cancer I think they would moan! Giv…",sexism,1
5084,5084,5084,4573,"Google ""straw man"" @RamiRMilhem Why is it that women want equal rights but also want to be catered at the same time? #notsexist #justdatroof",sexism,1
5089,5089,5089,2639,"Hehehe Lloyd's balls were dry, I bet he's heard that before #mkr",sexism,1
5094,5094,5094,1887,"@dankmtl Hell, Palestinian Muslim assholes like this clearly state their intentions of religious jihad against Jews and you tell them that .",racism,0
5095,5095,5095,5113,RT @Cgeddings911 Why is it that every bad driver I encounter is either an extremely old person or a female??? #notsexist #facts,sexism,1
5096,5096,5096,3269,"@N7Kopper @InnominateSterd @nitramy To be fair, I read his ""you hate"" as ""your hate""...my bad.  Working on worst sleep ever...sorry.",sexism,1
5100,5100,5100,1227,RT @BanningTheBurka: Are we going to continue seeing the oppression of women or are we going to make a stand? #BanTheBurka http://t.co/hZDx…,racism,0
5102,5102,5102,833,@AtefehNaeemi @etsho127 @SumerSloan @AmirFarokhy Is their idea of fair and equal representation to beat Peshmerga to death?,racism,0
5104,5104,5104,4512,"RT @johnpstringer: Not sexist, but really, isn't there a guy who has actually played college or pro ball who can be the reporter other than…",sexism,1
5106,5106,5106,3114,".@BlackOpal80 But not a joke, a lot of her writing created the false ""rape culture"" crisis &amp; whose theories were drivers of new CA rape law.",sexism,1
5110,5110,5110,318,@IAmThe1Teacher @stevecorrales80 @IronmanL1 Islam declared war on all humanity 1400 years ago.  And nothing has changed.,racism,0
5114,5114,5114,3874,@tonycollinet @EverydaySexism The truth?  I know.  You hate that.,sexism,1
5119,5119,5119,2906,"RT @MensHumanRights: .@CBCToronto This drunk woman legally knows better than to endanger lives driving drunk but, can't decide whether or n…",sexism,1
5121,5121,5121,3051,"@hayleyjoness @Fatboyisangry1 That is feminism's doing, you realize?",sexism,1
5130,5130,5130,2401,Kat the #CuntFaceBitch #mkr lives to fight on. http://t.co/ngtgO2U85R,sexism,1
5133,5133,5133,3782,@PMForeheadSp You were right...just about the wrong person...Valenti's a feminist.,sexism,1
5134,5134,5134,738,"@scamp_faridxx @AbuAlbaraaSham Islam declared war on all humanity 1400 years ago, so talking about murderers of Muslims is total hypocrisy.",racism,0
5135,5135,5135,2637,RT @2ndbestidiot: Kat is a nasty piece of work tbh #MKR,sexism,1
5136,5136,5136,2441,RT @PatSherlock89: The promo bimbos are certainly annoying but Kat and Andre seem like truly objectionable people.. gross #mkr,sexism,1
5137,5137,5137,3975,@ryxter5 Im not sexist but the woman who hate men stareing at their breasts are the ones who wear tops 2 sizes 2 small!! Actually annoys me!,sexism,1
5144,5144,5144,3150,RT @LostSailorNY: @AlMartin2000 @MT8_9 @robscragga @Bananaramble @chazmilz eeuww. I don't want to fit *anything* into their little boxes...,sexism,1
5145,5145,5145,2115,#MKR The blonde in red has breeders hips in that dress. Model my arse!,sexism,1
5151,5151,5151,184,"RT @funnyordead_: Islam according to ex-muslim: Not me 
This guy: PakistaniGuyDontHugMeMySuicideJacketMigh tGoOff 
And I think t... http://…",racism,0
5154,5154,5154,792,@Vandaliser @sajid_fairooz @IsraeliRegime Don't rely on a single case. Read the pact of Umar.,racism,0
5156,5156,5156,483,"@_Ibn_Latif @Colonel_Shami The prophet Mohammed used catapults on cities, killing women and children. So you just called him a coward.",racism,0
5158,5158,5158,3298,".@JamieAgathaRose  Nothing.  I like women in pink. It's a tipoff that they don't angrily reject femininity like...ahem, well, you know.",sexism,1
5165,5165,5165,4692,"Oh snap, it's the Masculinity Police Chief. @connor_rutledge Also on that note any man who wears fake tan isn't a man #notsexist #justhonest",sexism,1
5174,5174,5174,3970,RT @MrWolfeee: Can't stand female announcers doing play by play for football. Not sexist but every time I hear Holly Rowe doing a game I ca…,sexism,1
5175,5175,5175,3872,@VCR_Blog @Mislu_Kravin @asredasmyhair Huh?,sexism,1
5176,5176,5176,4786,RT @JOwens12_7: Michael mutes all women sportscasters #notsexist,sexism,1
5177,5177,5177,4410,RT @Slice_of_Slater It's not sexist but I do believe most girls are not good drivers.,sexism,1
5178,5178,5178,3016,RT @mrlowercasea: #questionsforwomen #questionsformen Do you view someone less reasonably if they openly declare hatred of your gender? htt…,sexism,1
5182,5182,5182,3996,RT @YesYoureRacist @ReDidi I'm not sexist or racist.... Okay maybe only when I'm driving.,sexism,1
5184,5184,5184,1418,RT @tummala82: @JihadistJoe @VileIslam #ISISAreMuslims #BanIslam #IslamIsEvil #IslamIsTheProblem http://t.co/UfCm2jNTab,racism,0
5187,5187,5187,1057,RT @The_Rebel_Heart: Islamic States reveals It's Air Force ! Lol Daesh bags Isis Isil  http://t.co/JAgBL5XzeH,racism,0
5188,5188,5188,2790,"""I'm trying so hard to be charming"" - Annie.

I have nothing to add.

#mkr",sexism,1
5189,5189,5189,3971,"RT @_Gladi_ I'm not sexist, but this female commentator is killong me.",sexism,1
5192,5192,5192,358,@NNdabbour64 A religion that declares war on humanity has no respect for anyone and is hypocritical to ask for respect.,racism,0
5193,5193,5193,3492,"@UntouchableShe No, feminism lobbies to have equality vetoed, actually... http://t.co/ZsmzUXIbH5",sexism,1
5197,5197,5197,4164,RT @GrahHarwarddd Call me sexist but I can't stand females being announcers for male sports.,sexism,1
5199,5199,5199,3879,@CassandraYoung Name that state.,sexism,1
5202,5202,5202,4069,"RT @AledThomas22 Not sexist, but cannot stand watching sport with women #question #question #question",sexism,1
5203,5203,5203,1764,@rayyoosheh 51 Christians or Hindus have been murdered for blasphemy by Muslim mobs in Pakistan alone. Why should Israel be subject to that?,racism,0
5205,5205,5205,4041,RT @genaro_m17 Girls should shave no matter what month it is,sexism,1
5206,5206,5206,2183,"""It's a deconstructed tart like us."" #MKR",sexism,1
5210,5210,5210,353,"@_enzk @NNdabbour64 And if someone wants to leave Islam, then Islam declares him an apostate and demands that he be murdered.",racism,0
5216,5216,5216,830,@RangAbdullah Is that suppose to be some kind of stupid excuse for the barbarity of the Shia militia?,racism,0
5217,5217,5217,16,It seems that Allah sits around all day obsessing about women's hands and faces showing.  I guess idiots need a god on their level.  #Islam,racism,0
5219,5219,5219,96,@HillaryGuess @riwired @izrinhariri @AtharHKhan Turkey and Egypt used to be mostly Christian and the Muslims have mostly exterminated them.,racism,0
5220,5220,5220,1314,@DianH4 @ExposeFalsehood .....80% of Afghan civilians are killed by Taliban. So it is a service to mankind to bomb the Taliban.,racism,0
5226,5226,5226,3323,@Suppose_Not @DoeringNorman @JustLaurenB Hmm.  Cathy Young and who are other two?,sexism,1
5229,5229,5229,1657,@_d_n_verg_ @stevesalaita Nothing has any value for Arabs except the destruction of the Jews. And the Arabs must pay Palestine to destroy em,racism,0
5236,5236,5236,4250,Using it to communicate our humanity? CHICKS MAN @lonelybanana9 Don't call me sexist because we all know how y'all girls are with Twitter.,sexism,1
5240,5240,5240,280,"@obinoavey ""dens of apostates""? Murder for the sake of religion.  Could you get any more stupid and inhuman?",racism,0
5242,5242,5242,3955,Fuck off @julescarbonaro And call me sexist but females tryna b president.Just stop. There's a reason why it's called the founding FATHERS .,sexism,1
5243,5243,5243,3670,@ArielaMigdal You know that's pure propaganda for dumb people right?,sexism,1
5245,5245,5245,4099,RT @KingHammock Fat Amy isn't funny because she's a women... I personally don't think women are funny at all #notsexist #realtalk,sexism,1
5247,5247,5247,2045,"Yes, we get it. You're pretty. Tone down the self promo and just cook! @mykitchenrules #MKR",sexism,1
5249,5249,5249,4756,RT @millermad1976 Not sexist but don't find women stand up comedians funny ever,sexism,1
5254,5254,5254,119,"@ibnHlophe @eeviewonders @CTFleaMarkets Your text is a fraud brought by a pedophile, slave trader, rapist, murderer, bigot, sexist, robber.",racism,0
5258,5258,5258,2242,Anyone can be a promo girl love #LiterallyAnyone #MKR #MKR2015,sexism,1
5261,5261,5261,889,"@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Yes, unlike the gulf Muslim countries where they still behead and won't let women drive.",racism,0
5264,5264,5264,1141,RT @PeterTownsend7: #isis #quran #Islam 'No Compulsion in Religion' (Qu'ran 2:256)? Think again!  http://t.co/58fFleMt1n http://t.co/fXZDSr…,racism,0
5265,5265,5265,4472,"RT @tpkennedyy: This is not sexist, but there is not one funny female comic in the world.. All less funny than a bout of the plague",sexism,1
5267,5267,5267,375,@AlMonitor The stupidity of Jihadis who think that you only need guns to run a civil society.,racism,0
5270,5270,5270,2578,CONVINCED THAT KAT IS SATAN #MKR,sexism,1
5282,5282,5282,4118,A classic! @RyanWHuck For those that care I love women im not sexist. I make jokes. Sorry.,sexism,1
5285,5285,5285,880,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime Mankind must outlaw Islam because it will never stop it's hatred. http://t.co/DG7nnMuPvA,racism,0
5288,5288,5288,161,Notice how the news media avoids pointing out that the murderers of the 12 French are followers of the death cult of #Islam.,racism,0
5293,5293,5293,1021,"@discerningmumin And if Muslims are angry that they can't force Islam on people, who cares? http://t.co/G43tlj1dGU",racism,0
5299,5299,5299,4978,"Actually u need help @purexelegance Call me sexist but I actually have nightmares about Nancy Pelosi, Hillary Clinton, and Elizabeth Warren.",sexism,1
5303,5303,5303,3676,@Audmum1 The girl who played Palin in porn only got $3000 for SAME job as Patty...,sexism,1
5307,5307,5307,975,@shamsmuna @ajwatamr Don't be an idiot.  There are more than 100 Muslim terrorist organizations. No other religion has anything close.,racism,0
5309,5309,5309,2454,"Kat, a massive c*nt. The biggest ever on #mkr #cuntandandre",sexism,1
5314,5314,5314,3858,"@Superjutah A lot of MRA's are gay, actually.  They see how feminism merely uses them.",sexism,1
5321,5321,5321,2972,RT @GRIMACHU: @coathangerproj This happens to men all the time. Men have no reproductive rights whatsoever. #Questionsformen,sexism,1
5322,5322,5322,1920,@MaxBlumenthal @Ajzionts ...tries to make a case that the Israelis protecting themselves against Muslim bigotry are the ones to blame.,racism,0
5323,5323,5323,432,"@Lithobolos @PoliticalAnt @ZaibatsuNews But there are very few of those. On the other hand, 2/3 of Muslims want barbaric Sharia.",racism,0
5324,5324,5324,2613,Kat &amp,sexism,1
5326,5326,5326,1761,@rayyoosheh I call that one thousands of the number of people Muslims murder every day.,racism,0
5329,5329,5329,4415,RT @David_Ihlan: Hearing these girls in my class talk about cars is some of the lowest IQ discussion I've ever heard. #NotSexist #JustAnObs…,sexism,1
5334,5334,5334,5139,RT @__gershom I'm not sexist but some foods are gender specific please. I don't want a woman mixing my shawarma.,sexism,1
5335,5335,5335,2756,Kat and Andre you fucking cunts #mkr,sexism,1
5337,5337,5337,2154,#mkr Dumb blondes with pretty faces ? Well you got that half right girls :),sexism,1
5339,5339,5339,4595,"RT @Lord__Dexter: ""Depends on their costume @Replacement2: Am not sexist but can women league football ever get the kind of attention the m…",sexism,1
5340,5340,5340,383,"@KamelNasrEldien True, no other ideology is as vile, murderous, backwards and stupid as Islam.",racism,0
5345,5345,5345,839,@SumerSloan @PAWarnhoff @etsho127 Hamas has been launching rockets at Israel forever.,racism,0
5351,5351,5351,2026,"Katie and Nikki - NSW - My Kitchen Rules 
When Will people learn? They are not that hot. Pride always comes before a fall.",sexism,1
5356,5356,5356,294,"@Salon @TheMuslimGuy So when the subject of Islam's relationship with terrorism comes up, they react like the empty morons they are.",racism,0
5357,5357,5357,3326,@_sinisterBen @JakSoulbright Never heard that before.,sexism,1
5362,5362,5362,807,@Vandaliser @sajid_fairooz @IsraeliRegime Without Muslims science would be exactly where it is today. They made zero contrib to comp science,racism,0
5363,5363,5363,4343,"RT @bazjayuu: @rachdancey @joanne_pardoe @tracci74 typical female, wants everything :-)",sexism,1
5369,5369,5369,2993,@Dreysander1 Absolutely.,sexism,1
5371,5371,5371,185,@ziallrh @riotboyafi The prophet Mohammed also had people murdered that spoke against him.,racism,0
5373,5373,5373,3885,"RT @Lex_Naija: And don't call me sexist for that last tweet. If women want equal praise for success, they gotta take equal blame for failur…",sexism,1
5374,5374,5374,3364,"@motorcitybellex @SATANPLSS ...she was seriously, right?",sexism,1
5377,5377,5377,5029,"RT @LimitBr8ker So, totally not sexist, but fouls should be a synonym for women's basketball.",sexism,1
5378,5378,5378,471,@Raqqa_Sl The prophet of Islam made his living robbing caravans.  So of course ISIS will make money stealing if they can.,racism,0
5379,5379,5379,4510,RT @el_raymos NOT SEXIST.. But who the fuck gives a damn about the WNBA?,sexism,1
5380,5380,5380,4736,RT @chyaboi_zellms: The amount of times I wonder where people got their licenses is directly proportional to the number of female drivers o…,sexism,1
5382,5382,5382,5284,RT @trish2295: Fucking rigged - r u kidding they didn't even make a mediocre meal - there was no sass - they just being kept for ratings - …,sexism,1
5388,5388,5388,1584,@halalflaws @biebervalue @greenlinerzjm What your prophet said was that women are stupid and corrupt. #Islam http://t.co/gmiSHq8QaG,racism,0
5393,5393,5393,3249,"@Iloveoldtools @Angry_Feminazi No.  Actually, she has an economics degree.",sexism,1
5403,5403,5403,5007,RT @ollie_lobb How come when women joke about men its not sexist but the other way round it is ?,sexism,1
5410,5410,5410,3178,@ILivUndrUrBed @CarolynnEva No.,sexism,1
5412,5412,5412,2225,"RT @HajiIshak1: RT @deaannnaa_:Katie and Nikki are frkn annoying stfu #MKR you're not even hot lol stop
 RT:@.vid.http://t.co/cRzO2P219y",sexism,1
5416,5416,5416,657,@JenniHesterman Religion is a factor.  ISIS kills Sunnis for disobedience.  They kill religious minorities just for being non Sunni Muslims.,racism,0
5419,5419,5419,4571,RT @eminemtbfh I'm not sexist but it is fact we can do more than females it's scientific fact....the only people that say otherwise are,sexism,1
5423,5423,5423,2650,It's karma kat #mkr,sexism,1
5429,5429,5429,2190,"RT @JakeChatty: The definitions of ""models"" and ""butchers"" are really loose nowadays #MKR",sexism,1
5433,5433,5433,1527,"@asem_1994 Islam only served to slow down science. The few discoveries by Muslims were despite Islam, not because of Islam.",racism,0
5442,5442,5442,2711,#mkr oh kat u silly silly fucking thing...open ur eyes,sexism,1
5443,5443,5443,1117,@truaemusic The point is about what the society supports and what it does not support. Barbarity is not an aberration in Muslim society.,racism,0
5445,5445,5445,4807,RT @stephenpeel1: It's National Kit Kat day in Belarus. Go on treat ur girlfriend or wife and ask them if they 'Fancy a finger'! #notsexist,sexism,1
5446,5446,5446,2465,Oh Shit. Now we have to put up with freaking Kat and No Balls Andre for another week. FMD.  #mkr,sexism,1
5450,5450,5450,77,@NiceeNhess All of you Islamists repeat the same brain dead lines that someone else told you to say. I've seen that one a thousand times.,racism,0
5451,5451,5451,3556,@DidymusLeonhart Earlier she was...she doesn't care about facts.,sexism,1
5454,5454,5454,4021,"Make no mistake, they'll ridicule u, 2! @rickygee15 Most of ugirls should go out with no make up at all tonight.. No one would recognize you",sexism,1
5455,5455,5455,3860,"#ThankAFeminist for their ""trolling"" #LetsTalkMen and exposing their hypocritical whining about men using #EverydaySexism or #YesAllWomen.",sexism,1
5462,5462,5462,3099,"@TheShujaatAli @AsheSchow is awesome, if you don't know her.  Write the truth about feminism.",sexism,1
5469,5469,5469,1766,@rayyoosheh The murdering Muslim blasphemy mobs of Pakistan. http://t.co/f3aWjksaUz #Islam,racism,0
5471,5471,5471,159,Since 1/3 of all #Islam believes that people who leave the religion should be murdered where are the moderate Muslims http://t.co/E3OtqTbo7D,racism,0
5474,5474,5474,3467,@Securedhappines @WilliamBakerGG @JudgyBitch1 Nope.,sexism,1
5476,5476,5476,3142,@BrokeTilIGetRch @CriticalKaiju Nope.,sexism,1
5477,5477,5477,2087,yeah colin would be looking for more fat in his sausage.... #MKR,sexism,1
5478,5478,5478,5193,RT @DaveParky14 Not sexist but an all female cast for a re hash of ghostbusters sounds....well shit really,sexism,1
5482,5482,5482,2437,seriously colin stop smiling/smirking. frowning looks better on you. #mkr,sexism,1
5485,5485,5485,5279,I should start a drinking game..  Everytime the girls compliment themselves skull. I wouldn't be in great shape tomz tho 😳 #MKR2015 #mkr,sexism,1
5489,5489,5489,4155,"RT @ol_dirtymarco I'm not sexist, but I must admit the ""Women belong in the kitchen"" jokes were worth a chuckle.",sexism,1
5491,5491,5491,1096,"@edgeofthesandbx @batchelorshow @FearDept Look, the heroes of the Torah exterminated every man, woman, child and animal in some cities.",racism,0
5494,5494,5494,2663,Please tell me #CuntAndAndre go to sudden death tonight #CantCook #CuntCook #MKR #WontStopTillTheyDrop,sexism,1
5495,5495,5495,173,"@ldstarr18 @AC360 But there are many ideologies, and Islam declared war on the human race 1400 years ago. http://t.co/ntOJwO4Lnt",racism,0
5499,5499,5499,3441,"@Allehegens Walker is clearly the one Dems fear.  I don't know much about him, either.",sexism,1
